abbr,location,obesity,diabetes
AK,Alaska,29.5,7.7
AL,Alabama,36.2,13.2
AR,Arkansas,37.1,12.1
AZ,Arizona,29.5,9.7
CA,California,25.8,9.7
CO,Colorado,23.0,6.2
CT,Connecticut,27.4,8.5
DC,District of Columbia,24.7,8.4
DE,Delaware,33.5,9.1
FL,Florida,30.7,9.8
GA,Georgia,32.5,11.4
HI,Hawaii,24.9,9.5
IA,Iowa,35.3,8.1
ID,Idaho,28.4,8.1
IL,Illinois,31.8,9.5
IN,Indiana,34.1,10.4
KS,Kansas,34.4,8.5
KY,Kentucky,36.6,11.8
LA,Louisiana,36.8,11.1
MA,Massachusetts,25.7,8.3
MD,Maryland,30.9,9.8
ME,Maine,30.4,8.5
MI,Michigan,33.0,9.8
MN,Minnesota,30.1,7.6
MO,Missouri,35.0,10.2
MS,Mississippi,39.5,12.4
MT,Montana,26.9,6.9
NC,North Carolina,33.0,10.1
ND,North Dakota,35.1,8.2
NE,Nebraska,34.1,8.0
NH,New Hampshire,29.6,7.7
NJ,New Jersey,25.7,8.1
NM,New Mexico,32.3,10.4
NV,Nevada,29.5,10.1
NY,New York,27.6,9.4
OH,Ohio,34.0,9.7
OK,Oklahoma,34.8,10.9
OR,Oregon,29.9,8.4
PA,Pennsylvania,30.9,9.6
RI,Rhode Island,27.7,8.6
SC,South Carolina,34.3,11.5
SD,South Dakota,30.1,6.9
TN,Tennessee,34.4,11.2
TX,Texas,34.8,10.9
UT,Utah,27.8,7.7
VA,Virginia,30.4,9.6
VT,Vermont,27.5,7.3
WA,Washington,28.7,8.6
WI,Wisconsin,32.0,8.6
WV,West Virginia,39.5,12.7
WY,Wyoming,29.0,7.6
